Tick;Harvested;Pollinated;Planted;CurrentPlanted;CurrentPests;KilledByFarmers;KilledByPesticide;PestsBorn
1;0;6;4;114;5;0;0;0
2;0;12;7;115;5;0;1;1
3;0;21;11;116;6;0;1;2
4;0;24;15;118;7;0;1;3
5;0;24;20;120;8;0;1;4
6;0;30;24;118;7;1;1;4
7;0;33;27;116;7;1;1;4
8;0;36;30;114;7;1;1;4
9;0;39;35;113;7;1;1;4
10;0;45;40;113;9;1;1;6
11;0;48;45;115;10;1;1;7
12;0;57;49;110;9;2;1;7
13;0;57;54;108;8;2;2;7
14;1;57;57;107;8;3;2;8
15;1;57;61;105;8;3;2;8
16;1;57;64;104;8;3;3;9
17;2;57;69;104;7;3;4;9
18;2;60;74;108;6;4;4;9
